source,type,chapter,module,target,pages,text_pages,empty_pages,chars,status
data/PPT/第二章 线性表/2.2.2_2_顺序表的查找【公众号：研料库，料最全】.pdf,课件,第二章 线性表,2.2.2_2_顺序表的查找,data/corpus/02_线性表/2.2.2_2_顺序表的查找.md,13,13,0,3228,ok
data/PPT/第二章 线性表/2.3.1_单链表的定义【公众号：研料库，料最全】.pdf,课件,第二章 线性表,2.3.1_单链表的定义,data/corpus/02_线性表/2.3.1_单链表的定义.md,13,13,0,1277,ok
data/PPT/第二章 线性表/2.3.2_1_单链表的插入删除【公众号：研料库，料最全】.pdf,课件,第二章 线性表,2.3.2_1_单链表的插入删除,data/corpus/02_线性表/2.3.2_1_单链表的插入删除.md,26,26,0,2235,ok
data/PPT/第二章 线性表/2.3.2_2_单链表的查找【公众号：研料库，料最全】.pdf,课件,第二章 线性表,2.3.2_2_单链表的查找,data/corpus/02_线性表/2.3.2_2_单链表的查找.md,12,12,0,566,ok
data/PPT/第二章 线性表/2.3.2_3_单链表的建立【公众号：研料库，料最全】.pdf,课件,第二章 线性表,2.3.2_3_单链表的建立,data/corpus/02_线性表/2.3.2_3_单链表的建立.md,9,9,0,1461,ok
data/PPT/第二章 线性表/2.3.3_双链表【公众号：研料库，料最全】.pdf,课件,第二章 线性表,2.3.3_双链表,data/corpus/02_线性表/2.3.3_双链表.md,9,9,0,744,ok
data/PPT/第二章 线性表/2.3.4_循环链表【公众号：研料库，料最全】.pdf,课件,第二章 线性表,2.3.4_循环链表,data/corpus/02_线性表/2.3.4_循环链表.md,11,11,0,738,ok
data/PPT/第二章 线性表/2.3.5_静态链表【公众号：研料库，料最全】.pdf,课件,第二章 线性表,2.3.5_静态链表,data/corpus/02_线性表/2.3.5_静态链表.md,9,9,0,1212,ok
data/PPT/第二章 线性表/2.3.6_顺序表和链表的比较【公众号：研料库，料最全】.pdf,课件,第二章 线性表,2.3.6_顺序表和链表的比较,data/corpus/02_线性表/2.3.6_顺序表和链表的比较.md,11,11,0,1417,ok
data/PPT/第五章 树与二叉树/5.1.1+5.1.2 树的定义和基本术语【公众号：研料库，料最全】.pdf,课件,第五章 树与二叉树,5.1.1+5.1.2 树的定义和基本术语,data/corpus/05_树与二叉树/5.1.1+5.1.2_树的定义和基本术语.md,12,12,0,1111,ok
